Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Car Age
VW,Golf,1.2,Petrol,2013,24633,17130,9
VW,Polo,1.6,Petrol,2015,8696,20761,7
Toyota,RAV4,2.2,Hybrid,1999,130759,7715,23
BMW,X3,2.0,Diesel,2007,116646,11624,15
BMW,Z4,3.0,Petrol,1995,89247,7099,27
VW,Passat,1.6,Diesel,2004,93528,9126,18
VW,Golf,1.8,Petrol,2007,104083,8366,15
Ford,Fiesta,1.0,Petrol,2000,95285,3423,22
VW,Golf,1.8,Petrol,2010,80229,12119,12
Porsche,911,3.0,Petrol,2003,133466,18512,19
Toyota,Yaris,1.0,Petrol,1993,175092,1321,29
Ford,Fiesta,1.4,Hybrid,2021,12715,33166,1
VW,Passat,1.4,Diesel,1989,260862,764,33
VW,Polo,2.0,Petrol,2011,65813,12682,11
VW,Golf,2.0,Petrol,1996,103419,4256,26
Ford,Focus,2.0,Petrol,1994,193712,2129,28
VW,Golf,1.4,Petrol,2008,148591,5576,14
VW,Polo,1.4,Petrol,2007,104353,6204,15
Ford,Fiesta,1.2,Petrol,2001,28598,6179,21
BMW,M5,5.0,Petrol,2002,146657,17001,20
Ford,Mondeo,1.6,Diesel,2012,78601,16353,10
VW,Golf,2.0,Petrol,1995,149622,2778,27
Ford,Focus,1.0,Diesel,2013,58543,15936,9
Toyota,RAV4,1.8,Petrol,2014,73064,24136,8
Porsche,718 Cayman,2.0,Petrol,2003,84154,12386,19
Ford,Fiesta,1.2,Petrol,1992,124753,1763,30
Toyota,Prius,1.8,Hybrid,1993,214064,1966,29
VW,Passat,1.4,Diesel,1985,186831,1141,37
VW,Golf,1.8,Petrol,1995,131511,3048,27
Ford,Fiesta,1.4,Petrol,2018,16595,22162,4
Toyota,Prius,1.0,Hybrid,2018,11537,34761,4
Toyota,Yaris,1.0,Petrol,2017,22410,19652,5
Toyota,RAV4,2.4,Hybrid,1999,154630,6647,23
VW,Golf,2.0,Hybrid,2005,68946,11857,17
Ford,Fiesta,1.2,Petrol,2013,59029,11430,9
Toyota,Yaris,1.2,Hybrid,1999,221693,1720,23
Ford,Mondeo,1.6,Diesel,2008,75056,12832,14
Toyota,Yaris,1.2,Hybrid,2016,69481,18115,6
Ford,Mondeo,1.4,Diesel,2013,55053,19105,9
Ford,Fiesta,1.4,Petrol,1989,195700,865,33
Toyota,Prius,1.0,Hybrid,1994,23757,6566,28
Toyota,RAV4,2.2,Petrol,1992,245440,1498,30
VW,Polo,1.0,Petrol,1996,232748,859,26
Ford,Mondeo,1.4,Diesel,2006,146548,6146,16
Toyota,Prius,1.0,Hybrid,2000,126367,4896,22
Ford,Mondeo,1.6,Diesel,1998,134364,4250,24
Toyota,RAV4,2.0,Petrol,2006,113522,11167,16
VW,Polo,1.0,Petrol,2008,54443,7901,14
Toyota,Yaris,1.2,Hybrid,2013,45460,17294,9
Toyota,Yaris,1.4,Petrol,1999,182334,2192,23
VW,Golf,1.4,Petrol,2005,122477,5618,17
VW,Polo,1.6,Diesel,2017,37971,21155,5
Toyota,Prius,1.0,Hybrid,1995,140762,3130,27
Toyota,Prius,1.0,Hybrid,2004,73740,9387,18
Ford,Focus,1.8,Petrol,1990,237752,1043,32
Ford,Fiesta,1.0,Petrol,2009,115503,5369,13
Ford,Focus,1.0,Petrol,2005,90093,7190,17
VW,Golf,1.4,Diesel,2001,75081,6380,21
Porsche,718 Cayman,4.0,Petrol,2010,84251,27914,12
VW,Golf,1.2,Petrol,2011,76232,10871,11
BMW,X3,2.0,Diesel,1993,104479,5008,29
Toyota,Yaris,1.2,Hybrid,1989,286350,485,33
Toyota,RAV4,2.2,Hybrid,1991,233629,1874,31
Ford,Focus,1.8,Petrol,2004,145211,5926,18
Ford,Mondeo,2.0,Hybrid,2010,61566,20492,12
VW,Golf,1.2,Petrol,1997,224715,1284,25
Toyota,Yaris,1.0,Petrol,1989,269871,431,33
Ford,Mondeo,1.6,Petrol,1997,215049,1908,25
Ford,Focus,1.6,Diesel,1996,155069,3175,26
Ford,Mondeo,1.6,Diesel,1998,106226,5277,24
VW,Polo,1.6,Petrol,2004,76364,6627,18
Ford,Mondeo,1.6,Diesel,2001,162737,4119,21
Toyota,RAV4,2.0,Hybrid,1994,170503,3808,28
VW,Golf,2.0,Hybrid,1997,95507,5784,25
BMW,X3,2.4,Petrol,1996,119225,5711,26
VW,Passat,2.0,Diesel,1990,124271,3188,32
Toyota,Yaris,1.0,Hybrid,1994,273923,695,28
Toyota,Prius,1.0,Hybrid,2016,56594,23383,6
Ford,Mondeo,1.6,Diesel,2006,133714,7283,16
VW,Golf,1.6,Diesel,2003,135888,4968,19
VW,Passat,1.4,Diesel,2010,59187,16095,12
Toyota,Yaris,1.0,Petrol,2020,27181,23368,2
Toyota,RAV4,2.4,Hybrid,1992,128064,5161,30
Ford,Fiesta,1.4,Petrol,2003,116752,4218,19
Ford,Mondeo,2.0,Diesel,2006,126771,8599,16
Ford,Focus,1.8,Diesel,2004,102322,8674,18
Ford,Focus,1.6,Diesel,2001,242564,2057,21
Ford,Focus,1.8,Petrol,2007,92630,10825,15
VW,Passat,2.0,Diesel,2008,124301,10583,14
BMW,X3,3.0,Diesel,2019,30736,56535,3
VW,Polo,1.4,Petrol,2000,190250,1939,22
Ford,Focus,1.6,Diesel,2003,110038,7224,19
Ford,Fiesta,1.0,Petrol,1999,159002,1949,23
VW,Polo,1.6,Petrol,2010,36877,12716,12
Ford,Fiesta,1.2,Petrol,2004,79291,5481,18
Toyota,RAV4,2.2,Hybrid,1996,81189,9123,26
Ford,Fiesta,1.0,Petrol,2006,74564,5905,16
BMW,Z4,2.2,Petrol,2005,133481,8490,17
Porsche,911,2.6,Petrol,2013,42804,63561,9
VW,Golf,1.8,Petrol,1991,190353,1430,31
Ford,Focus,1.0,Petrol,1996,170952,2093,26
Toyota,Prius,1.8,Hybrid,1985,330025,390,37
VW,Polo,1.4,Petrol,2001,228627,1473,21
VW,Passat,1.4,Diesel,2012,70430,17082,10
Ford,Mondeo,1.4,Diesel,2002,41568,9974,20
VW,Passat,1.4,Diesel,2017,47563,27617,5
VW,Golf,2.0,Petrol,2003,144436,4939,19
VW,Passat,1.8,Diesel,1991,85882,4296,31
Toyota,Prius,1.8,Hybrid,2002,118317,7987,20
Toyota,Prius,1.4,Hybrid,1992,155423,2691,30
Porsche,718 Cayman,4.0,Petrol,2021,17044,88331,1
BMW,M5,4.4,Petrol,2008,64565,43656,14
Ford,Focus,1.4,Diesel,2009,94418,11308,13
Ford,Mondeo,1.4,Diesel,2021,9434,42423,1
Toyota,Prius,1.4,Hybrid,2008,56888,16200,14
VW,Golf,1.2,Diesel,2010,59776,11911,12
Porsche,911,2.6,Petrol,1986,179576,3790,36
BMW,X3,2.0,Diesel,1991,227571,1569,31
VW,Passat,2.0,Petrol,2005,111439,9105,17
Ford,Fiesta,1.0,Petrol,1994,217805,838,28
BMW,X3,3.0,Diesel,2005,71831,17195,17
VW,Passat,1.8,Diesel,2005,89324,10662,17
VW,Polo,1.4,Petrol,2001,110065,3985,21
Ford,Focus,1.6,Diesel,2014,36967,24617,8
Toyota,Prius,1.8,Hybrid,2003,173674,5451,19
Toyota,Yaris,1.0,Hybrid,2014,32486,18233,8
Toyota,Prius,1.8,Hybrid,2019,22653,46934,3
Ford,Mondeo,1.4,Diesel,2009,60458,14135,13
Toyota,RAV4,1.8,Petrol,1990,189668,1956,32
Ford,Focus,1.4,Petrol,2010,84477,12354,12
VW,Golf,1.2,Petrol,2008,113799,6789,14
VW,Polo,1.2,Petrol,1997,224923,1080,25
VW,Passat,1.6,Petrol,2004,216816,3165,18
Ford,Focus,2.0,Petrol,2012,62239,19606,10
Ford,Fiesta,1.4,Petrol,2018,13774,22501,4
VW,Passat,2.0,Petrol,2004,46599,13293,18
VW,Golf,1.6,Petrol,2020,16537,32982,2
Toyota,RAV4,1.8,Petrol,2004,87248,11236,18
Toyota,Prius,1.0,Hybrid,2002,103852,6637,20
Toyota,Yaris,1.2,Petrol,2007,113332,6060,15
Ford,Focus,1.8,Petrol,2018,21987,35377,4
Ford,Fiesta,1.4,Petrol,1990,263469,500,32
BMW,M5,4.0,Petrol,1987,312118,1260,35
BMW,Z4,3.0,Petrol,2011,94461,19875,11
Ford,Fiesta,1.4,Petrol,2002,107119,4243,20
VW,Passat,1.8,Diesel,2012,72164,19145,10
Ford,Focus,1.6,Diesel,2001,117527,5973,21
Ford,Focus,1.6,Petrol,2018,36298,30730,4
Ford,Fiesta,1.0,Petrol,2002,207748,1564,20
BMW,X3,2.4,Diesel,1991,202355,2154,31
BMW,M5,5.0,Petrol,2001,148964,15609,21
Toyota,Yaris,1.2,Hybrid,2020,21095,31783,2
Porsche,911,3.5,Petrol,1993,136466,10024,29
Ford,Focus,2.0,Hybrid,2013,42102,28536,9
Toyota,Prius,1.4,Hybrid,2000,218847,2649,22
Toyota,Prius,1.8,Hybrid,2016,60438,30607,6
Toyota,Yaris,1.4,Petrol,1992,195926,1221,30
Porsche,Cayenne,3.0,Petrol,1998,75980,13616,24
Ford,Mondeo,1.8,Diesel,2010,90078,14009,12
VW,Golf,1.6,Petrol,1992,235631,962,30
VW,Polo,1.2,Petrol,2013,95538,9140,9
Toyota,RAV4,2.2,Hybrid,1994,148970,4777,28
Toyota,Yaris,1.4,Hybrid,2002,88744,6739,20
BMW,X3,2.0,Diesel,2006,114705,11036,16
VW,Golf,1.2,Diesel,1992,160054,1697,30
Toyota,Prius,1.0,Hybrid,1992,271359,810,30
Toyota,Prius,1.0,Hybrid,2006,71115,10917,16
Toyota,Prius,1.4,Hybrid,2013,61966,21882,9
Toyota,Prius,1.0,Hybrid,2008,62500,13205,14
Ford,Fiesta,1.0,Diesel,1989,185710,837,33
VW,Polo,2.0,Petrol,2016,24915,22725,6
Ford,Mondeo,1.6,Diesel,2001,83235,7606,21
VW,Passat,1.6,Diesel,1992,210822,1575,30
VW,Golf,1.6,Diesel,2000,97126,5464,22
VW,Passat,1.4,Petrol,2012,31924,20694,10
BMW,X3,2.4,Diesel,1998,215565,3054,24
Ford,Fiesta,1.0,Petrol,2007,95481,5451,15
Ford,Focus,2.0,Petrol,1989,93749,3409,33
Toyota,Yaris,1.0,Petrol,2018,23058,20931,4
Porsche,Cayenne,4.0,Petrol,1996,141609,8431,26
Toyota,Yaris,1.2,Hybrid,2020,18692,32206,2
Toyota,Prius,1.8,Hybrid,2020,17816,51523,2
VW,Polo,2.0,Petrol,2018,39231,23899,4
VW,Polo,1.6,Petrol,2003,96557,5378,19
Ford,Mondeo,1.6,Diesel,1997,174919,2847,25
Toyota,Yaris,1.2,Petrol,2000,123303,3520,22
VW,Golf,1.6,Petrol,2002,137116,4383,20
BMW,Z4,2.0,Petrol,2013,64661,22767,9
VW,Golf,1.2,Petrol,2006,58940,8735,16
Ford,Fiesta,1.2,Hybrid,1994,108331,2741,28
VW,Passat,1.8,Diesel,2021,12411,50030,1
Porsche,Cayenne,3.0,Petrol,1991,198272,3242,31
VW,Passat,1.6,Diesel,2011,98201,14070,11
Toyota,Prius,1.0,Hybrid,1996,113338,4144,26
VW,Passat,1.8,Petrol,1994,208826,1851,28
VW,Golf,1.4,Petrol,2018,24301,25870,4
Ford,Fiesta,1.0,Petrol,1995,172086,1337,27
BMW,X3,2.0,Diesel,2014,67278,26372,8
VW,Golf,1.4,Petrol,1996,230271,1234,26
Ford,Fiesta,1.2,Petrol,1990,161386,1148,32
Ford,Mondeo,1.8,Diesel,1997,87706,5988,25
Ford,Fiesta,1.0,Petrol,1995,228132,816,27
Ford,Focus,2.0,Diesel,2009,102493,12744,13
Toyota,Prius,1.0,Hybrid,1995,191268,2048,27
Toyota,RAV4,2.4,Hybrid,2007,116868,15297,15
Ford,Mondeo,1.8,Diesel,2002,156122,4935,20
Ford,Mondeo,1.4,Diesel,2018,32526,30575,4
BMW,M5,4.4,Petrol,2021,14906,139738,1
Ford,Mondeo,1.4,Diesel,2018,52583,27082,4
VW,Golf,2.0,Hybrid,2010,101010,13220,12
VW,Polo,2.0,Petrol,2016,42427,20518,6
VW,Golf,1.2,Petrol,2010,78670,10001,12
Ford,Mondeo,2.0,Diesel,2005,136700,7439,17
Ford,Fiesta,1.2,Petrol,2013,20868,14362,9
Ford,Fiesta,1.4,Petrol,1992,259863,591,30
VW,Polo,1.0,Petrol,2021,12755,23968,1
Ford,Mondeo,1.4,Diesel,2013,49146,19826,9
VW,Polo,1.0,Petrol,1986,250889,373,36
Ford,Focus,1.4,Diesel,1997,156082,3148,25
Toyota,RAV4,2.0,Hybrid,1990,82880,5762,32
VW,Passat,2.0,Diesel,2001,101438,7887,21
BMW,X3,2.4,Diesel,2017,28052,44940,5
Ford,Fiesta,1.2,Petrol,2009,48054,9382,13
Toyota,Yaris,1.4,Hybrid,2021,13875,38166,1
BMW,Z4,2.4,Petrol,1990,199263,1878,32
VW,Passat,1.6,Diesel,2022,3615,52780,0
Porsche,Cayenne,3.5,Diesel,1991,141403,5943,31
VW,Polo,1.0,Petrol,1998,118082,2595,24
BMW,M5,5.0,Petrol,2012,45379,68619,10
Porsche,911,2.6,Petrol,2018,41906,89189,4
VW,Polo,2.0,Petrol,1997,65149,5008,25
BMW,X3,2.4,Diesel,2003,110813,10193,19
Ford,Fiesta,1.0,Petrol,2005,90306,4951,17
Ford,Focus,1.8,Diesel,2019,21077,39907,3
Ford,Fiesta,1.2,Petrol,2014,39223,13816,8
Toyota,RAV4,2.0,Petrol,2016,41127,35649,6
VW,Passat,1.8,Petrol,2003,142058,5953,19
Porsche,718 Cayman,4.0,Petrol,1999,181424,6241,23
Ford,Mondeo,1.4,Diesel,2014,69045,18646,8
VW,Passat,2.0,Diesel,2001,164125,4810,21
VW,Passat,2.0,Diesel,1989,297070,649,33
VW,Polo,2.0,Petrol,2017,35038,22919,5
Toyota,Yaris,1.2,Petrol,2017,38871,19580,5
Ford,Fiesta,1.2,Petrol,2014,66451,11641,8
Toyota,Prius,1.0,Hybrid,1994,203728,1718,28
Toyota,Yaris,1.4,Hybrid,2010,17350,17991,12
Toyota,Yaris,1.0,Petrol,2000,198746,1716,22
VW,Polo,1.4,Petrol,1996,228371,1058,26
VW,Polo,1.2,Petrol,2011,64912,9881,11
Ford,Focus,1.4,Diesel,2022,5829,46630,0
VW,Passat,1.6,Diesel,1990,261135,871,32
VW,Passat,1.6,Diesel,2017,48111,29424,5
VW,Passat,2.0,Diesel,2018,32620,38588,4
VW,Golf,1.8,Petrol,1990,195835,1276,32
Ford,Focus,1.6,Petrol,1996,200919,2043,26
Toyota,Yaris,1.0,Petrol,2007,129308,4891,15
Ford,Mondeo,1.4,Diesel,2010,91373,12241,12
Ford,Focus,1.4,Diesel,2017,25629,30028,5
Ford,Focus,1.8,Petrol,2010,49074,17699,12
Ford,Fiesta,1.0,Petrol,2002,98375,3825,20
Toyota,Prius,1.0,Hybrid,2007,64139,12222,15
VW,Golf,1.2,Petrol,1992,146831,1802,30
Toyota,RAV4,2.0,Hybrid,1988,221562,1632,34
VW,Passat,1.4,Diesel,2006,89269,10055,16
VW,Passat,1.8,Diesel,1995,194112,2365,27
VW,Golf,1.8,Diesel,2008,54121,13236,14
VW,Golf,1.2,Petrol,2001,121995,3999,21
Ford,Mondeo,1.8,Diesel,2018,34154,34341,4
Toyota,Yaris,1.0,Hybrid,2012,107180,9702,10
VW,Golf,1.8,Hybrid,2008,57813,14776,14
Porsche,Cayenne,2.6,Petrol,2018,46244,58309,4
Toyota,RAV4,2.4,Hybrid,2015,52047,40995,7
VW,Golf,1.8,Petrol,1990,138837,2060,32
Toyota,RAV4,2.2,Petrol,1999,146657,5661,23
VW,Golf,1.8,Diesel,2005,110412,7333,17
Ford,Mondeo,2.0,Diesel,1986,150410,1876,36
Ford,Mondeo,1.6,Diesel,2012,70622,17262,10
Toyota,Yaris,1.4,Petrol,2004,85093,6584,18
VW,Golf,1.6,Diesel,2018,27182,28571,4
Toyota,Prius,1.4,Hybrid,2009,97040,13164,13
BMW,Z4,3.0,Petrol,1990,312643,735,32
Toyota,RAV4,1.8,Hybrid,2010,109374,17124,12
Porsche,Cayenne,3.0,Petrol,2003,151232,10769,19
Toyota,Prius,1.8,Hybrid,2006,76688,14105,16
Toyota,RAV4,1.8,Hybrid,1999,142327,6364,23
Ford,Focus,1.0,Petrol,1997,289767,763,25
Ford,Mondeo,1.6,Diesel,2012,71000,17219,10
BMW,M5,4.0,Petrol,2011,70689,48818,11
Toyota,RAV4,2.0,Petrol,2003,117631,8861,19
VW,Polo,1.6,Petrol,2008,135710,5572,14
Porsche,Cayenne,4.0,Petrol,2006,121589,19230,16
VW,Passat,1.6,Diesel,2016,59768,25573,6
Ford,Fiesta,1.2,Petrol,1996,237028,882,26
Toyota,RAV4,2.4,Petrol,1997,178906,3952,25
VW,Golf,2.0,Petrol,2005,149172,5431,17
BMW,M5,4.4,Petrol,2012,73225,53805,10
VW,Golf,1.8,Hybrid,2016,39460,28218,6
Toyota,Yaris,1.4,Petrol,1996,126532,2840,26
VW,Polo,1.2,Petrol,2007,88547,6440,15
BMW,Z4,3.0,Petrol,1985,217042,1284,37
VW,Polo,1.0,Petrol,1990,81846,1984,32
Ford,Focus,1.4,Diesel,2004,138331,5800,18
VW,Passat,2.0,Diesel,1993,191288,2237,29
BMW,M5,4.0,Petrol,1992,304499,1892,30
Ford,Fiesta,1.0,Petrol,2002,135753,2876,20
Ford,Mondeo,1.4,Diesel,2000,85740,6540,22
VW,Polo,1.2,Petrol,1990,264224,471,32
Toyota,Prius,1.4,Hybrid,2014,27073,28931,8
Porsche,718 Cayman,4.0,Petrol,2016,17571,63111,6
VW,Golf,1.4,Diesel,1996,125109,3172,26
Ford,Fiesta,1.2,Petrol,2000,94104,3782,22
VW,Golf,1.4,Petrol,2022,4211,37613,0
BMW,X3,2.4,Diesel,2008,48268,21872,14
VW,Golf,1.8,Petrol,2015,56976,19741,7
Toyota,Yaris,1.0,Hybrid,2015,65643,15868,7
Toyota,Prius,1.8,Hybrid,2008,114927,12227,14
VW,Golf,2.0,Petrol,2017,23165,29111,5
Ford,Focus,2.0,Petrol,2016,24777,32131,6
VW,Passat,1.8,Diesel,2017,21844,36407,5
Toyota,RAV4,2.4,Petrol,1995,110391,6015,27
VW,Polo,1.2,Petrol,2014,81478,10792,8
Ford,Fiesta,1.0,Petrol,1987,217573,527,35
Toyota,RAV4,2.2,Hybrid,2005,173655,8096,17
Ford,Mondeo,1.8,Hybrid,2015,44387,30229,7
Ford,Mondeo,2.0,Diesel,2020,25173,43549,2
Toyota,Prius,1.4,Hybrid,1993,221460,1623,29
VW,Passat,1.8,Diesel,2009,53950,17653,13
VW,Golf,1.8,Hybrid,2009,91690,12552,13
VW,Golf,1.4,Diesel,2009,104648,8815,13
Ford,Focus,1.4,Petrol,2002,119029,5623,20
Ford,Mondeo,1.8,Diesel,2002,154402,5005,20
BMW,Z4,2.0,Petrol,2005,53128,14384,17
VW,Passat,1.4,Diesel,2014,60836,20791,8
Ford,Focus,1.0,Petrol,1998,186024,2102,24
Ford,Fiesta,1.0,Petrol,2009,29746,9552,13
VW,Golf,1.6,Petrol,2012,62974,14659,10
Toyota,RAV4,2.4,Petrol,1993,76983,6692,29
Ford,Focus,1.0,Petrol,2005,149152,4572,17
BMW,M5,4.0,Petrol,1988,259952,2206,34
Ford,Mondeo,1.6,Diesel,2016,29530,29105,6
VW,Polo,1.2,Petrol,1994,193896,1165,28
Ford,Focus,1.8,Petrol,2004,102699,8238,18
VW,Golf,1.2,Diesel,2019,14290,28399,3
Toyota,RAV4,1.8,Hybrid,2008,95863,16554,14
Ford,Focus,1.0,Petrol,2018,23362,26167,4
Ford,Fiesta,1.0,Diesel,2007,58880,7351,15
VW,Polo,1.4,Petrol,2007,103952,6223,15
Toyota,Yaris,1.4,Hybrid,2005,169013,4396,17
Toyota,Yaris,1.2,Petrol,1994,197580,1273,28
Toyota,RAV4,2.4,Hybrid,2007,90226,18619,15
Ford,Fiesta,1.0,Petrol,1993,143731,1480,29
VW,Polo,1.4,Petrol,2003,71557,5991,19
Toyota,RAV4,2.4,Petrol,2007,78501,16842,15
Porsche,Cayenne,4.0,Petrol,2013,52350,49894,9
VW,Golf,1.2,Petrol,2018,33609,22710,4
Porsche,718 Cayman,2.0,Petrol,1993,131277,4476,29
BMW,X3,3.0,Petrol,2005,83620,15106,17
VW,Golf,1.4,Diesel,2014,70320,15672,8
Ford,Fiesta,1.2,Petrol,2014,66204,11660,8
VW,Passat,1.6,Diesel,2005,136087,7064,17
VW,Golf,1.2,Petrol,2005,132550,4808,17
Ford,Focus,1.0,Petrol,2019,32363,26574,3
VW,Passat,2.0,Diesel,1996,189215,2782,26
VW,Golf,1.8,Petrol,1993,161020,2099,29
VW,Passat,1.6,Diesel,1997,144187,3883,25
Ford,Focus,1.6,Diesel,2010,76488,14654,12
VW,Golf,1.2,Diesel,2005,135928,4915,17
Ford,Mondeo,2.0,Hybrid,2001,82273,9784,21
Ford,Fiesta,1.2,Petrol,2014,90295,9884,8
Toyota,Prius,1.4,Hybrid,2016,46171,29532,6
Toyota,Yaris,1.0,Hybrid,2000,208419,1891,22
VW,Polo,2.0,Petrol,2008,119031,7097,14
VW,Passat,1.6,Diesel,2001,169980,4095,21
VW,Passat,1.8,Diesel,1986,327098,378,36
Porsche,Cayenne,4.0,Diesel,1992,171904,5278,30
Ford,Mondeo,1.6,Diesel,2002,150403,4876,20
Ford,Mondeo,2.0,Diesel,2013,75845,19915,9
Ford,Focus,1.4,Diesel,2003,58891,9659,19
Ford,Fiesta,1.0,Petrol,1999,200199,1369,23
Ford,Focus,2.0,Diesel,1987,162456,1832,35
BMW,X3,2.0,Petrol,2013,61269,24440,9
VW,Passat,1.4,Diesel,1998,111260,5022,24
Toyota,Yaris,1.0,Petrol,2006,113674,5161,16
VW,Polo,1.2,Petrol,2011,118746,6729,11
Toyota,Yaris,1.2,Petrol,1999,194080,1832,23
Ford,Fiesta,1.2,Petrol,1992,168311,1238,30
Porsche,911,3.5,Petrol,2009,112286,35139,13
Ford,Focus,2.0,Diesel,1995,221979,1859,27
VW,Polo,1.6,Diesel,1992,98237,2679,30
Toyota,Yaris,1.0,Petrol,2004,112843,4545,18
Ford,Focus,1.4,Petrol,2012,91011,13479,10
VW,Golf,1.2,Petrol,1992,266726,625,30
VW,Passat,2.0,Diesel,2012,69995,20476,10
BMW,Z4,2.2,Petrol,1999,184297,3734,23
Toyota,Yaris,1.0,Petrol,1988,227634,595,34
VW,Golf,1.2,Petrol,2005,116821,5432,17
Ford,Focus,2.0,Diesel,2016,43095,30315,6
BMW,Z4,2.0,Petrol,2020,8200,50644,2
Ford,Focus,1.4,Petrol,1994,111617,3490,28
Toyota,Prius,1.4,Hybrid,1992,252440,1143,30
BMW,X3,2.4,Petrol,2018,21969,47342,4
BMW,Z4,2.4,Petrol,2022,5164,64393,0
Ford,Mondeo,1.4,Petrol,1989,115918,2398,33
Ford,Mondeo,1.6,Diesel,2014,57825,21450,8
BMW,X3,3.0,Diesel,2013,15450,41267,9
VW,Passat,1.8,Diesel,2002,140102,5940,20
VW,Golf,1.6,Diesel,2003,176520,3551,19
VW,Golf,1.2,Diesel,2016,59582,17791,6
Ford,Fiesta,1.2,Diesel,2009,62621,8981,13
VW,Passat,2.0,Diesel,2015,32398,31634,7
Ford,Mondeo,1.8,Hybrid,2003,116581,8258,19
Ford,Fiesta,1.2,Petrol,2006,117826,4731,16
Ford,Fiesta,1.4,Petrol,1990,269905,471,32
VW,Polo,1.2,Petrol,2005,93201,5453,17
Toyota,Prius,1.4,Hybrid,1996,198810,2425,26
Toyota,Yaris,1.2,Petrol,2013,60025,13151,9
Porsche,718 Cayman,2.0,Petrol,2005,121084,10785,17
BMW,M5,4.4,Petrol,2002,172470,12869,20
Porsche,911,2.6,Petrol,2013,78209,50558,9
Porsche,718 Cayman,2.4,Petrol,2008,119947,14558,14
Toyota,Prius,1.8,Hybrid,2019,23802,46634,3
VW,Golf,1.6,Hybrid,1986,174222,1332,36
Ford,Focus,1.8,Petrol,2013,76038,18136,9
Ford,Mondeo,2.0,Diesel,2011,71521,17947,11
Toyota,RAV4,2.0,Hybrid,2021,16943,68560,1
BMW,M5,5.0,Petrol,2010,67560,52136,12
Toyota,Prius,1.8,Hybrid,1991,136219,3335,31
Toyota,Yaris,1.4,Hybrid,2011,81011,12963,11
Ford,Fiesta,1.2,Petrol,1997,144256,2108,25
VW,Golf,1.2,Petrol,2012,39719,14683,10
Ford,Fiesta,1.0,Petrol,2014,57433,11269,8
Toyota,RAV4,1.8,Hybrid,2018,42240,46062,4
VW,Passat,2.0,Diesel,1994,112244,4564,28
Toyota,RAV4,1.8,Hybrid,2001,166177,5975,21
Toyota,Yaris,1.4,Petrol,1997,89631,3998,25
Ford,Focus,1.6,Hybrid,2017,27270,36349,5
Toyota,Yaris,1.2,Hybrid,2007,99536,8057,15
VW,Golf,2.0,Petrol,1994,220391,1411,28
Toyota,RAV4,2.2,Hybrid,2000,223595,3740,22
BMW,X3,2.4,Diesel,2000,231690,3017,22
BMW,Z4,3.0,Petrol,2006,105668,13120,16
BMW,X3,2.0,Diesel,1998,219944,2680,24
VW,Golf,1.4,Petrol,1992,112899,2541,30
Toyota,RAV4,2.4,Hybrid,1998,42608,13989,24
Toyota,Prius,1.4,Hybrid,2002,177171,4365,20
Toyota,RAV4,2.2,Hybrid,2011,49098,30620,11
BMW,Z4,2.4,Petrol,2012,31568,28624,10
Ford,Fiesta,1.0,Petrol,2020,17741,21269,2
Ford,Fiesta,1.2,Petrol,1994,67314,3051,28
Porsche,911,2.6,Petrol,2004,58077,31714,18
Ford,Mondeo,2.0,Diesel,2018,28940,37307,4
Ford,Fiesta,1.2,Petrol,2002,131361,3262,20
VW,Golf,1.4,Diesel,2011,12111,18205,11
Toyota,Yaris,1.0,Hybrid,2010,36544,13637,12
VW,Passat,2.0,Diesel,2011,118404,13527,11
Toyota,RAV4,2.2,Hybrid,1986,192728,1935,36
Porsche,Cayenne,3.0,Petrol,2012,85198,32489,10
VW,Golf,1.8,Petrol,1988,141977,1758,34
VW,Polo,1.4,Petrol,1988,230852,606,34
Toyota,Yaris,1.0,Hybrid,2007,146139,5131,15
Toyota,RAV4,1.8,Petrol,1987,282599,686,35
Porsche,Cayenne,4.0,Petrol,1994,85585,11268,28
BMW,X3,2.4,Diesel,2015,13370,42648,7
Ford,Mondeo,1.4,Diesel,2019,29322,33292,3
VW,Golf,1.4,Petrol,2005,63965,8543,17
Toyota,Prius,1.0,Hybrid,1997,134037,3774,25
Ford,Fiesta,1.0,Petrol,2022,6019,25859,0
VW,Golf,2.0,Petrol,1991,175131,1719,31
Ford,Focus,1.0,Petrol,2012,118335,9307,10
BMW,X3,3.0,Diesel,1999,227587,3275,23
BMW,Z4,2.0,Petrol,2000,129137,6002,22
Ford,Focus,2.0,Diesel,2010,81370,15843,12
VW,Polo,1.4,Petrol,1997,103929,3195,25
Toyota,Yaris,1.0,Petrol,2007,166795,3604,15
Toyota,Yaris,1.4,Petrol,2007,72744,8754,15
Ford,Focus,1.8,Petrol,1989,90583,3308,33
Toyota,Prius,1.4,Hybrid,2012,59699,20773,10
Toyota,Yaris,1.0,Hybrid,2020,20590,29095,2
Ford,Mondeo,1.6,Diesel,2013,69492,18592,9
BMW,M5,4.0,Petrol,2000,97788,19403,22
BMW,Z4,2.4,Petrol,1995,236097,1883,27
VW,Polo,2.0,Petrol,2004,122681,5285,18
VW,Passat,2.0,Diesel,1997,186012,3057,25
VW,Passat,1.6,Diesel,2018,26407,35765,4
Toyota,RAV4,2.4,Petrol,2021,13668,63699,1
VW,Polo,1.6,Petrol,1993,128764,2165,29
